url,sourceTitle,new_lrt,discipline,educationalContext,intendedEndUserRole,typicalAgeRangeFrom,typicalAgeRangeTo,language,keyword,Eingetragen am,KldB (4-stellig),Beruf,ESCO
https://www.youtube.com/playlist?list=PLn_RXXE1fMmPN_8qL9Oeh1DaFjbt3JLyF,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,380,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmNIdDK4zxYPbGfMfYoCqdaE,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,380,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmNthaWTssmt5Tp3zToUnebB,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,380,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmNyR_rYuUOfhzvXU2TtXXDc,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,380,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmPF4PylCfVHknAUojWYmt5_,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,380,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmMSOO2tscOG0FpX1zX_K0NG,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,380,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmMDYqZ5kddBAYOLnI3IzoJI,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,380,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmPTubs4fXxxC96KQmmKf5QZ,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,380,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmO-YZ4qh1l5SM1rmvgraKl3,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,480,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmPdnyxR44XMMNC0KjMk4Iaq,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,240,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmPnW2w9KF8bC-UGS5z8V-6v,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,240,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmOOL8nfq1jdfoJXaF2aruZr,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,240,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmOMLoCTsLpQ3_wd2tn1FYbM,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,450,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
